Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.238-192.168.10.25-443-50106-6,192.168.10.25,50106,172.217.10.238,443,6,06/07/2017 10:39,4,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,9250000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,64,0,500000,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.25-443-50120-6,192.168.10.25,50120,172.217.10.238,443,6,06/07/2017 10:39,57,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,649122.807,35087.7193,57,0,57,57,57,57,0,57,57,0,0,0,0,0,1,0,0,0,64,0,35087.7193,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.25-443-50119-6,192.168.10.25,50119,172.217.10.238,443,6,06/07/2017 10:39,48,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,770833.3333,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,1,0,0,0,64,0,41666.66667,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.226-192.168.10.25-443-50103-6,192.168.10.25,50103,172.217.10.226,443,6,06/07/2017 10:39,26,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,1423076.923,76923.07692,26,0,26,26,26,26,0,26,26,0,0,0,0,0,1,0,0,0,64,0,76923.07692,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-216.58.211.99-50104-443-6,192.168.10.25,50104,216.58.211.99,443,6,06/07/2017 10:39,49,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,755102.0408,40816.32653,49,0,49,49,49,49,0,49,49,0,0,0,0,0,1,0,0,0,64,0,40816.32653,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-216.58.211.99-50107-443-6,192.168.10.25,50107,216.58.211.99,443,6,06/07/2017 10:39,62,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,596774.1935,32258.06452,62,0,62,62,62,62,0,62,62,0,0,0,0,0,1,0,0,0,64,0,32258.06452,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-216.58.211.99-50114-443-6,192.168.10.25,50114,216.58.211.99,443,6,06/07/2017 10:39,13,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,2846153.846,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,1,0,0,0,64,0,153846.1538,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-23.208.107.184-50096-443-6,192.168.10.25,50096,23.208.107.184,443,6,06/07/2017 10:39,60,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,616666.6667,33333.33333,60,0,60,60,60,60,0,60,60,0,0,0,0,0,1,0,0,0,64,0,33333.33333,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-23.208.107.184-50095-443-6,192.168.10.25,50095,23.208.107.184,443,6,06/07/2017 10:39,103,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,359223.301,19417.47573,103,0,103,103,103,103,0,103,103,0,0,0,0,0,1,0,0,0,64,0,19417.47573,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-23.208.107.184-50097-443-6,192.168.10.25,50097,23.208.107.184,443,6,06/07/2017 10:39,74,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,500000,27027.02703,74,0,74,74,74,74,0,74,74,0,0,0,0,0,1,0,0,0,64,0,27027.02703,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,64,0,0,0,0,0,0,2,37,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
