Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.16.0.1-192.168.10.50-52712-80-6,192.168.10.50,80,172.16.0.1,52712,6,5/7/2017 10:43,144605,6,3,11595,306,4344,0,1932.5,1754.831473,306,0,102,176.6691824,82300.05878,62.23851181,18075.625,46706.37173,133278,3,144605,28921,58530.19698,133278,33,11010,5505,7781.00302,11007,3,0,0,0,0,200,104,41.49234121,20.7461706,0,4344,1190.1,1623.944474,2637195.656,0,0,0,1,1,0,0,0,0,1322.333333,1932.5,102,200,0,0,0,0,0,0,6,11595,3,306,28960,229,4,32,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-33372-80-6,172.16.0.1,33372,192.168.10.50,80,6,5/7/2017 10:15,16045,5,3,356,1964,356,0,71.2,159.20804,1964,0,654.6666667,1133.915929,144593.3313,498.597694,2292.142857,2236.412934,5415,73,16045,4011.25,1779.76822,5415,1459,9788,4894,946.1088732,5563,4225,0,0,0,0,168,104,311.6235587,186.9741352,0,1964,257.7777778,650.5754718,423248.4444,0,0,0,1,0,0,0,0,0,290,71.2,654.6666667,168,0,0,0,0,0,0,5,356,3,1964,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Slowhttptest
172.16.0.1-192.168.10.50-33374-80-6,172.16.0.1,33374,192.168.10.50,80,6,5/7/2017 10:15,109998919,4,3,525,0,520,0,131.25,259.1773846,0,0,0,0,4.772774176,0.063636989,1.83E+07,4.49E+07,1.10E+08,79,1.10E+08,3.67E+07,6.35E+07,1.10E+08,1460,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5585,0,0,0,0,136,104,0.036363994,0.027272995,0,520,65.625,183.6035617,33710.26786,0,0,0,1,0,0,0,0,0,75,131.25,0,136,0,0,0,0,0,0,4,525,3,0,29200,235,2,32,5735,0,5735,5735,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33376-80-6,172.16.0.1,33376,192.168.10.50,80,6,5/7/2017 10:15,109993343,4,3,531,0,520,0,132.75,258.218738,0,0,0,0,4.827564883,0.063640215,1.83E+07,4.49E+07,1.10E+08,46,1.10E+08,3.67E+07,6.35E+07,1.10E+08,673,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5391,0,0,0,0,136,104,0.036365837,0.027274378,0,520,66.375,183.332592,33610.83929,0,0,0,1,0,0,0,0,0,75.85714286,132.75,0,136,0,0,0,0,0,0,4,531,3,0,29200,235,2,32,5437,0,5437,5437,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33378-80-6,172.16.0.1,33378,192.168.10.50,80,6,5/7/2017 10:15,109988359,4,3,535,0,520,0,133.75,257.5970691,0,0,0,0,4.864151123,0.063643099,1.83E+07,4.49E+07,1.10E+08,83,1.10E+08,3.67E+07,6.35E+07,1.10E+08,855,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5417,0,0,0,0,136,104,0.036367485,0.027275614,0,520,66.875,183.1653722,33549.55357,0,0,0,1,0,0,0,0,0,76.42857143,133.75,0,136,0,0,0,0,0,0,4,535,3,0,29200,235,2,32,5505,0,5505,5505,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33380-80-6,172.16.0.1,33380,192.168.10.50,80,6,5/7/2017 10:15,109982960,4,3,530,0,520,0,132.5,258.3763405,0,0,0,0,4.818928314,0.063646223,1.83E+07,4.49E+07,1.10E+08,68,1.10E+08,3.67E+07,6.35E+07,1.10E+08,641,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5216,0,0,0,0,136,104,0.03636927,0.027276953,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,0,75.71428571,132.5,0,136,0,0,0,0,0,0,4,530,3,0,29200,235,2,32,5303,0,5303,5303,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33382-80-6,172.16.0.1,33382,192.168.10.50,80,6,5/7/2017 10:15,109977744,4,3,530,0,520,0,132.5,258.3763405,0,0,0,0,4.819156865,0.063649242,1.83E+07,4.49E+07,1.10E+08,89,1.10E+08,3.67E+07,6.35E+07,1.10E+08,661,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5261,0,0,0,0,136,104,0.036370995,0.027278246,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,0,75.71428571,132.5,0,136,0,0,0,0,0,0,4,530,3,0,29200,235,2,32,5356,0,5356,5356,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33386-80-6,172.16.0.1,33386,192.168.10.50,80,6,5/7/2017 10:15,109967320,4,3,526,0,520,0,131.5,259.0154436,0,0,0,0,4.783239239,0.063655275,1.83E+07,4.49E+07,1.10E+08,41,1.10E+08,3.67E+07,6.35E+07,1.10E+08,590,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5270,0,0,0,0,136,104,0.036374443,0.027280832,0,520,65.75,183.5567254,33693.07143,0,0,0,1,0,0,0,0,0,75.14285714,131.5,0,136,0,0,0,0,0,0,4,526,3,0,29200,235,2,32,5311,0,5311,5311,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33388-80-6,172.16.0.1,33388,192.168.10.50,80,6,5/7/2017 10:15,109962098,4,3,529,0,520,0,132.25,258.5348139,0,0,0,0,4.810748518,0.063658298,1.83E+07,4.49E+07,1.10E+08,39,1.10E+08,3.67E+07,6.35E+07,1.10E+08,623,1.10E+08,5.50E+07,7.77E+07,1.10E+08,5233,0,0,0,0,136,104,0.03637617,0.027282128,0,520,66.125,183.4202337,33642.98214,0,0,0,1,0,0,0,0,0,75.57142857,132.25,0,136,0,0,0,0,0,0,4,529,3,0,29200,235,2,32,5273,0,5273,5273,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33384-80-6,172.16.0.1,33384,192.168.10.50,80,6,5/7/2017 10:15,109972494,4,3,533,0,520,0,133.25,257.9061522,0,0,0,0,4.846666476,0.06365228,1.83E+07,4.49E+07,1.10E+08,48,1.10E+08,3.67E+07,6.35E+07,1.10E+08,597,1.10E+08,5.50E+07,7.78E+07,1.10E+08,5265,0,0,0,0,136,104,0.036372732,0.027279549,0,520,66.625,183.2476369,33579.69643,0,0,0,1,0,0,0,0,0,76.14285714,133.25,0,136,0,0,0,0,0,0,4,533,3,0,29200,235,2,32,5313,0,5313,5313,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33390-80-6,172.16.0.1,33390,192.168.10.50,80,6,5/7/2017 10:15,109956889,4,3,530,0,520,0,132.5,258.3763405,0,0,0,0,4.820070892,0.063661314,1.83E+07,4.49E+07,1.10E+08,37,1.10E+08,3.67E+07,6.35E+07,1.10E+08,638,1.10E+08,5.50E+07,7.77E+07,1.10E+08,5279,0,0,0,0,136,104,0.036377894,0.02728342,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,0,75.71428571,132.5,0,136,0,0,0,0,0,0,4,530,3,0,29200,235,2,32,5316,0,5316,5316,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
172.16.0.1-192.168.10.50-33392-80-6,172.16.0.1,33392,192.168.10.50,80,6,5/7/2017 10:15,109951738,4,3,530,0,520,0,132.5,258.3763405,0,0,0,0,4.820296701,0.063664296,1.83E+07,4.49E+07,1.10E+08,24,1.10E+08,3.67E+07,6.35E+07,1.10E+08,647,1.10E+08,5.50E+07,7.77E+07,1.10E+08,5259,0,0,0,0,136,104,0.036379598,0.027284698,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,0,75.71428571,132.5,0,136,0,0,0,0,0,0,4,530,3,0,29200,235,2,32,5314,0,5314,5314,1.10E+08,0,1.10E+08,1.10E+08,DoS Slowhttptest
