processed 0 flows
Cluster 71 is anomaly with the nodes:
found (amount) anomaly in node: {'side': 'Client', 'amount': 21, 'length': 6225.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 373.0, 'mean_packet_length': 296.42857142857144, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53543', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:43'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 10, 'length': 5200.0, 'time_delta': 0.0, 'min_packet_length': 6.0, 'max_packet_length': 200.0, 'mean_packet_length': 520.0, 'FIN_count': 0, 'SYN_count': 1, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53569', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 14, 'length': 5901.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 304.0, 'mean_packet_length': 421.5, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53570', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 8, 'length': 3935.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 208.0, 'mean_packet_length': 491.875, 'FIN_count': 0, 'SYN_count': 1, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53549', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 9, 'length': 3372.0, 'time_delta': 0.0, 'min_packet_length': 6.0, 'max_packet_length': 213.0, 'mean_packet_length': 374.6666666666667, 'FIN_count': 0, 'SYN_count': 1, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53582', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 8, 'length': 4080.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 206.0, 'mean_packet_length': 510.0, 'FIN_count': 0, 'SYN_count': 1, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53580', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 9, 'length': 6443.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 195.0, 'mean_packet_length': 715.8888888888889, 'FIN_count': 0, 'SYN_count': 1, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53563', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 9, 'length': 7257.0, 'time_delta': 0.0, 'min_packet_length': 6.0, 'max_packet_length': 201.0, 'mean_packet_length': 806.3333333333334, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 1, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53573', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 10, 'length': 7257.0, 'time_delta': 0.0, 'min_packet_length': 6.0, 'max_packet_length': 205.0, 'mean_packet_length': 725.7, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 1, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53567', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:41'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 13, 'length': 7263.0, 'time_delta': 0.0, 'min_packet_length': 6.0, 'max_packet_length': 284.0, 'mean_packet_length': 558.6923076923077, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53574', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:42'}
found (amount) anomaly in node: {'side': 'Client', 'amount': 26, 'length': 20759.0, 'time_delta': 0.0, 'min_packet_length': 0.0, 'max_packet_length': 330.0, 'mean_packet_length': 798.4230769230769, 'FIN_count': 0, 'SYN_count': 0, 'RST_count': 0, 'PSH_count': 1, 'ACK_count': 1, 'URG_count': 0, 'anomaly_score_history': [], 'cluster': 71, 'printed': False, 'pred': True, 'label': False, 'cluster_pred': True, 'ann_pred': False, 'ip': '192.168.10.15', 'port': '53566', 'flows': 2, 'color': 'yellow', 'packet_index': '06/07/2017 10:43'}
